Visit Date,temp,humidity,precip,windspeed,uvindex,number
2016-02-07,39.6,57.7,0.004,9.0,7,1.0
2016-02-08,45.5,56.9,0.0,6.7,7,0.0
2016-02-09,51.0,56.8,0.0,8.9,7,1.0
2016-02-10,57.7,61.4,0.0,20.1,7,1.0
2016-02-11,63.6,87.8,0.157,11.2,5,0.0
2016-02-12,64.1,85.2,0.0,8.9,6,0.0
2016-02-13,59.5,86.2,0.016,17.9,4,0.0
2016-02-14,40.5,73.2,0.103,20.1,1,0.0
2016-02-15,37.7,43.1,0.003,20.1,8,0.0
2016-02-16,40.5,54.6,0.0,6.7,8,0.0
2016-02-17,42.8,56.1,0.0,8.9,8,0.0
2016-02-18,49.2,56.7,0.0,8.9,8,1.0
2016-02-19,47.7,85.2,0.074,6.7,1,2.0
2016-02-20,48.3,53.5,0.049,17.9,8,1.0
2016-02-21,44.3,59.2,0.0,13.4,8,1.0
2016-02-22,44.9,96.3,0.742,6.8,1,1.0
2016-02-23,44.6,88.3,0.084,11.2,3,1.0
2016-02-24,43.9,69.3,0.0,11.2,7,1.0
2016-02-25,43.2,64.2,0.0,8.9,8,1.0
2016-02-26,50.2,65.6,0.0,8.9,7,0.0
2016-02-27,54.8,63.8,0.0,8.9,8,0.0
2016-02-28,56.4,62.5,0.0,15.6,8,0.0
2016-02-29,48.1,54.5,0.003,13.4,8,0.0
2016-03-01,46.8,60.8,0.0,8.9,8,2.0
2016-03-02,52.2,67.5,0.0,11.2,8,3.0
2016-03-03,61.8,63.2,0.0,13.4,8,0.0
2016-03-04,65.8,67.7,0.004,15.7,8,2.0
2016-03-05,66.5,67.4,0.008,8.9,8,0.0
2016-03-06,55.6,89.0,0.006,11.2,6,1.0
2016-03-07,60.7,83.3,0.0,8.9,8,1.0
2016-03-08,55.6,95.3,0.619,17.8,2,2.0
2016-03-09,43.9,78.7,0.86,15.7,3,1.0
2016-03-10,39.9,69.8,0.103,13.4,3,1.0
2016-03-11,40.6,54.8,0.0,11.1,9,1.0
2016-03-12,43.9,70.0,0.016,17.9,9,1.0
2016-03-13,47.9,94.3,0.262,8.9,1,1.0
2016-03-14,47.8,73.6,0.0,11.2,8,0.0
2016-03-15,47.8,72.0,0.0,13.3,8,0.0
2016-03-16,55.2,62.9,0.0,6.7,9,0.0
2016-03-17,59.7,81.1,0.004,11.2,5,1.0
2016-03-18,61.8,86.8,0.002,6.7,7,0.0
2016-03-19,58.1,91.6,0.052,8.9,4,1.0
2016-03-20,54.6,75.2,0.0,8.9,8,0.0
2016-03-21,54.2,70.7,0.0,6.7,5,0.0
2016-03-22,53.2,93.9,0.186,8.9,2,0.0
2016-03-23,51.4,84.3,0.112,15.5,1,0.0
2016-03-24,47.2,57.7,0.066,13.4,3,0.0
2016-03-25,48.9,54.7,0.0,11.2,9,0.0
2016-03-26,48.9,54.5,0.0,8.9,9,0.0
2016-03-27,52.9,48.0,0.02,13.4,8,1.0
2016-03-28,55.2,49.1,0.0,15.7,9,0.0
2016-03-29,61.8,44.5,0.0,13.4,9,1.0
2016-03-30,57.3,83.6,0.117,6.7,3,0.0
2016-03-31,56.7,89.0,0.224,11.2,5,0.0
2016-04-01,58.9,84.3,0.0,11.2,9,0.0
2016-04-02,65.1,81.4,0.022,13.4,6,1.0
2016-04-03,62.7,98.5,1.516,13.4,4,0.0
2016-04-04,56.4,82.1,0.062,11.2,2,1.0
2016-04-05,60.3,74.1,0.0,13.3,5,3.0
2016-04-06,65.5,87.5,0.044,13.4,7,0.0
2016-04-07,61.5,96.0,0.355,11.2,2,0.0
2016-04-08,62.2,85.7,0.743,8.9,3,1.0
2016-04-09,64.3,83.5,0.036,11.2,8,1.0
2016-04-10,64.0,79.6,0.042,6.7,6,1.0
2016-04-11,62.3,83.8,0.024,11.2,6,1.0
2016-04-12,63.4,93.9,0.047,11.2,3,0.0
2016-04-13,65.1,90.2,0.063,8.9,7,1.0
2016-04-14,65.2,72.1,0.006,11.1,9,1.0
2016-04-15,66.2,58.9,0.007,13.3,5,0.0
2016-04-16,68.9,78.8,0.047,22.4,5,0.0
2016-04-17,64.3,63.4,0.01,11.2,9,1.0
2016-04-18,59.0,61.6,0.052,8.9,9,1.0
2016-04-19,61.5,67.6,0.0,17.9,10,0.0
2016-04-20,66.0,88.8,1.318,15.7,5,1.0
2016-04-21,66.0,96.8,1.416,13.4,2,1.0
2016-04-22,68.1,72.7,0.03,11.2,9,0.0
2016-04-23,58.8,95.9,0.859,11.2,3,1.0
2016-04-24,58.9,99.5,0.461,6.7,2,1.0
2016-04-25,57.8,93.3,0.186,6.7,2,1.0
2016-04-26,61.6,95.9,1.126,8.9,4,1.0
2016-04-27,63.6,84.9,0.047,13.4,6,1.0
2016-04-28,64.7,66.6,0.0,15.7,8,0.0
2016-04-29,66.4,64.6,0.0,8.9,10,0.0
2016-04-30,68.0,58.8,0.0,15.7,10,0.0
2016-05-01,71.7,68.3,0.0,17.9,10,2.0
2016-05-02,73.6,85.1,0.256,13.4,5,1.0
2016-05-03,73.1,54.7,0.613,24.3,9,1.0
2016-05-04,72.8,69.1,0.0,13.4,9,2.0
2016-05-05,74.0,92.0,1.412,20.1,5,1.0
2016-05-06,78.4,81.6,0.299,11.2,7,1.0
2016-05-07,64.1,98.0,0.301,9.0,1,1.0
2016-05-08,60.1,97.9,0.896,4.5,2,2.0
2016-05-09,65.8,96.1,0.083,8.9,2,0.0
2016-05-10,65.5,84.5,0.457,15.5,5,1.0
2016-05-11,67.4,73.5,0.0,11.2,10,2.0
2016-05-12,71.7,67.0,0.0,13.4,10,1.0
2016-05-13,68.8,80.3,0.0,11.2,9,4.0
2016-05-14,71.4,78.8,0.0,20.1,8,1.0
2016-05-15,71.0,84.8,0.251,15.7,7,1.0
2016-05-16,64.8,62.9,0.493,11.2,8,1.0
2016-05-17,64.0,45.4,0.0,15.5,10,1.0
2016-05-18,64.1,59.1,0.004,8.9,9,1.0
2016-05-19,69.4,70.3,0.004,15.7,7,2.0
2016-05-20,66.4,98.0,0.854,8.9,2,4.0
2016-05-21,69.6,99.2,0.636,4.5,2,1.0
2016-05-22,71.7,87.9,0.012,11.2,6,1.0
2016-05-23,74.4,76.4,0.004,8.9,7,1.0
2016-05-24,71.4,85.8,0.053,6.7,2,1.0
2016-05-25,75.2,85.8,0.15,11.2,7,2.0
2016-05-26,74.3,97.4,0.125,8.9,4,3.0
2016-05-27,74.1,96.0,0.078,6.7,4,0.0
2016-05-28,73.7,98.6,0.653,6.7,3,0.0
2016-05-29,71.6,93.0,1.404,11.2,1,0.0
2016-05-30,72.0,86.3,0.0,11.2,2,1.0
2016-05-31,79.7,83.2,0.21,8.9,5,0.0
2016-06-01,71.5,99.5,0.897,11.2,2,1.0
2016-06-02,70.4,81.7,0.508,8.9,7,1.0
2016-06-03,69.5,99.2,0.454,6.7,1,1.0
2016-06-04,72.9,86.0,0.127,13.4,7,1.0
2016-06-05,73.0,75.0,0.0,8.9,8,1.0
2016-06-06,76.8,78.3,0.004,11.2,7,1.0
2016-06-07,77.7,86.8,0.251,8.9,8,0.0
2016-06-08,76.8,90.0,0.672,11.2,5,0.0
2016-06-09,75.2,89.4,0.004,13.4,4,0.0
2016-06-10,79.2,81.6,0.0,15.7,8,2.0
2016-06-11,79.2,85.7,0.004,6.7,7,1.0
2016-06-12,75.0,96.9,0.95,13.4,3,2.0
2016-06-13,74.4,87.8,0.073,6.7,6,2.0
2016-06-14,79.7,81.2,0.0,13.3,9,0.0
2016-06-15,79.3,84.5,0.468,15.7,8,1.0
2016-06-16,71.6,95.4,0.839,6.7,1,2.0
2016-06-17,76.3,82.5,0.0,15.7,7,3.0
2016-06-18,78.3,84.7,0.14,13.4,3,3.0
2016-06-19,80.1,84.5,0.007,11.2,5,7.0
2016-06-20,81.1,87.4,1.092,24.6,5,3.0
2016-06-21,86.6,79.0,0.015,11.1,9,2.0
2016-06-22,86.8,78.8,0.089,11.2,9,0.0
2016-06-23,88.9,77.3,0.012,8.9,9,1.0
2016-06-24,86.5,73.6,0.016,15.7,8,1.0
2016-06-25,71.1,93.5,0.876,8.9,2,2.0
2016-06-26,68.6,99.7,2.087,6.7,1,0.0
2016-06-27,77.2,90.6,0.033,8.9,6,2.0
2016-06-28,80.8,90.6,0.212,8.9,7,1.0
2016-06-29,75.3,98.6,3.275,13.4,2,0.0
2016-06-30,84.1,76.8,0.119,13.4,9,0.0
2016-07-01,85.8,74.9,0.003,15.7,8,1.0
2016-07-02,85.0,80.4,0.001,15.7,8,4.0
2016-07-03,84.5,84.3,0.099,11.2,6,2.0
2016-07-04,87.2,74.8,0.0,20.1,9,0.0
2016-07-05,87.0,70.0,0.192,17.9,9,0.0
2016-07-06,86.1,77.8,0.001,13.4,8,1.0
2016-07-07,85.2,76.6,0.125,15.7,7,2.0
2016-07-08,83.4,82.9,0.111,11.2,8,1.0
2016-07-09,80.7,96.3,0.251,8.9,5,0.0
2016-07-10,80.5,98.3,0.538,6.7,5,0.0
2016-07-11,83.7,88.6,0.026,13.4,4,1.0
2016-07-12,85.8,81.9,0.485,11.2,6,3.0
2016-07-13,85.9,85.6,0.003,15.7,2,5.0
2016-07-14,85.1,87.7,0.099,8.9,7,3.0
2016-07-15,89.8,74.7,0.172,8.9,9,3.0
2016-07-16,82.5,84.5,0.014,13.4,5,1.0
2016-07-17,83.7,84.6,0.008,13.4,6,2.0
2016-07-18,84.2,83.7,0.009,13.4,4,1.0
2016-07-19,84.4,79.7,0.025,8.9,9,1.0
2016-07-20,89.2,73.7,0.0,13.4,9,2.0
2016-07-21,91.3,66.9,0.004,13.4,9,1.0
2016-07-22,89.7,75.6,0.0,17.9,9,1.0
2016-07-23,89.8,71.2,0.0,8.9,9,1.0
2016-07-24,89.1,76.0,0.012,11.2,9,1.0
2016-07-25,88.4,69.9,0.0,13.4,9,0.0
2016-07-26,89.2,71.3,0.0,11.2,9,2.0
2016-07-27,90.2,66.7,0.083,17.7,9,0.0
2016-07-28,87.9,70.7,0.024,17.7,9,0.0
2016-07-29,87.4,76.0,0.024,13.4,9,2.0
2016-07-30,86.7,78.2,0.0,15.6,9,0.0
2016-07-31,87.1,72.6,0.012,17.8,8,0.0
2016-08-01,86.5,78.9,0.049,13.4,8,1.0
2016-08-02,86.5,79.9,0.028,13.4,6,1.0
2016-08-03,80.9,93.1,1.021,11.2,5,2.0
2016-08-04,84.8,80.5,0.007,8.9,8,7.0
2016-08-05,86.8,76.1,0.003,11.2,8,3.0
2016-08-06,84.0,86.4,0.311,11.2,7,0.0
2016-08-07,85.2,76.7,0.04,15.7,8,1.0
2016-08-08,83.5,80.8,0.013,11.2,8,0.0
2016-08-09,82.5,92.5,0.802,11.2,3,4.0
2016-08-10,86.6,82.9,0.237,15.7,8,3.0
2016-08-11,85.6,83.8,0.175,8.9,7,5.0
2016-08-12,86.8,82.1,0.004,15.7,8,3.0
2016-08-13,85.9,84.7,0.024,13.4,8,3.0
2016-08-14,86.1,78.4,0.032,15.5,7,5.0
2016-08-15,87.4,75.4,0.0,11.2,8,6.0
2016-08-16,88.0,75.6,0.008,13.4,8,0.0
2016-08-17,87.3,73.5,0.004,13.4,8,2.0
2016-08-18,88.2,74.4,0.008,13.4,8,3.0
2016-08-19,89.6,73.4,0.004,11.1,9,2.0
2016-08-20,88.4,78.9,0.016,11.1,9,1.0
2016-08-21,87.3,80.7,0.02,11.2,7,4.0
2016-08-22,87.1,75.3,0.237,11.2,8,4.0
2016-08-23,85.5,78.2,0.009,8.9,7,2.0
2016-08-24,84.5,73.8,0.0,11.2,9,1.0
2016-08-25,84.9,74.6,0.0,11.2,9,1.0
2016-08-26,85.4,76.4,0.074,11.2,7,0.0
2016-08-27,81.8,69.0,0.199,15.7,8,4.0
2016-08-28,80.4,51.7,0.051,17.9,9,0.0
2016-08-29,78.3,57.1,0.0,13.4,9,0.0
2016-08-30,77.5,56.2,0.0,17.9,9,0.0
2016-08-31,79.6,53.6,0.0,8.9,9,0.0
2016-09-01,79.5,60.1,0.032,11.2,6,0.0
2016-09-02,81.5,63.9,0.067,8.9,9,1.0
2016-09-03,80.4,68.5,0.0,11.2,9,3.0
2016-09-04,77.1,87.2,0.324,8.9,6,4.0
2016-09-05,78.4,92.7,0.007,8.9,7,4.0
2016-09-06,78.5,84.4,0.009,9.0,7,6.0
2016-09-07,74.9,91.7,0.059,8.9,3,0.0
2016-09-08,77.4,77.8,0.049,6.7,6,2.0
2016-09-09,78.3,73.9,0.008,13.3,5,0.0
2016-09-10,78.3,79.4,0.06,8.9,6,2.0
2016-09-11,70.3,95.9,0.872,8.9,1,3.0
2016-09-12,73.7,87.1,0.012,8.9,5,4.0
2016-09-13,75.6,84.3,0.341,11.2,3,1.0
2016-09-14,75.1,95.7,0.683,8.9,2,1.0
2016-09-15,76.4,97.6,2.158,11.1,1,2.0
2016-09-16,79.4,92.1,2.104,13.4,6,1.0
2016-09-17,77.0,87.3,0.558,13.4,5,4.0
2016-09-18,76.2,79.5,0.098,15.7,2,1.0
2016-09-19,75.0,76.0,0.194,15.7,6,0.0
2016-09-20,73.4,68.4,0.191,15.5,6,0.0
2016-09-21,73.8,73.4,0.123,8.9,6,1.0
2016-09-22,74.2,79.3,0.056,11.2,8,1.0
2016-09-23,75.9,75.5,0.008,11.2,7,1.0
2016-09-24,75.4,78.0,0.0,11.2,8,2.0
2016-09-25,76.6,77.1,0.0,11.2,8,1.0
2016-09-26,76.5,88.2,0.015,8.9,7,1.0
2016-09-27,80.7,94.3,0.401,8.9,4,0.0
2016-09-28,79.2,98.8,0.594,13.3,3,0.0
2016-09-29,76.3,98.1,0.944,11.2,3,1.0
2016-09-30,76.8,92.1,0.104,11.2,7,0.0
2016-10-01,80.7,87.5,0.025,8.9,6,3.0
2016-10-02,82.0,80.5,0.004,11.2,7,3.0
2016-10-03,75.9,87.3,0.022,11.2,6,1.0
2016-10-04,74.5,83.0,0.474,15.5,3,0.0
2016-10-05,76.6,81.0,0.125,8.9,6,1.0
2016-10-06,76.1,78.2,0.056,13.4,4,2.0
2016-10-07,73.7,91.3,0.387,6.7,3,2.0
2016-10-08,69.8,93.1,2.103,13.4,0,4.0
2016-10-09,66.8,66.1,0.004,15.7,4,1.0
2016-10-10,68.2,65.7,0.13,11.2,3,2.0
2016-10-11,69.9,73.5,0.007,11.2,1,1.0
2016-10-12,71.0,67.0,0.0,13.4,5,1.0
2016-10-13,71.1,66.8,0.0,8.9,6,3.0
2016-10-14,69.6,83.2,0.172,8.9,4,4.0
2016-10-15,71.1,89.8,0.028,4.5,2,4.0
2016-10-16,75.9,83.9,0.016,8.9,6,4.0
2016-10-17,72.1,79.8,0.009,8.9,4,0.0
2016-10-18,71.8,85.1,0.008,6.7,2,3.0
2016-10-19,70.9,94.3,0.144,4.5,2,0.0
2016-10-20,74.4,89.9,0.135,8.9,3,1.0
2016-10-21,75.0,100.0,0.339,6.7,3,1.0
2016-10-22,74.5,100.0,0.742,11.2,3,0.0
2016-10-23,70.1,93.2,0.897,15.7,2,1.0
2016-10-24,72.2,84.9,0.02,8.9,4,0.0
2016-10-25,71.2,88.1,0.003,13.3,3,1.0
2016-10-26,75.4,85.2,0.094,15.5,4,1.0
2016-10-27,73.0,95.4,0.005,6.7,3,1.0
2016-10-28,67.6,92.5,0.025,13.4,3,0.0
2016-10-29,60.1,83.3,0.115,11.2,1,0.0
2016-10-30,62.6,67.9,0.0,8.9,5,0.0
2016-10-31,62.3,83.1,0.094,13.4,3,0.0
2016-11-01,57.1,78.9,0.102,13.4,3,0.0
2016-11-02,54.4,75.7,0.049,8.9,4,2.0
2016-11-03,55.1,79.0,0.0,6.7,6,1.0
2016-11-04,58.7,77.3,0.0,8.9,7,0.0
2016-11-05,63.3,78.0,0.0,6.7,7,2.0
2016-11-06,66.1,83.5,0.008,8.9,6,0.0
2016-11-07,67.5,87.8,0.016,13.4,6,0.0
2016-11-08,57.7,85.5,0.584,15.7,0,1.0
2016-11-09,53.6,72.3,0.032,15.7,2,0.0
2016-11-10,53.3,80.8,0.011,13.4,4,0.0
2016-11-11,53.8,75.5,0.0,11.2,7,1.0
2016-11-12,60.1,84.3,0.016,8.9,5,0.0
2016-11-13,66.6,93.4,0.092,6.7,2,1.0
2016-11-14,65.1,98.0,0.265,6.7,2,0.0
2016-11-15,61.7,80.5,0.016,11.2,3,1.0
2016-11-16,60.4,79.9,0.005,8.9,5,0.0
2016-11-17,64.3,89.2,0.026,4.5,3,1.0
2016-11-18,70.6,84.8,0.093,13.4,5,0.0
2016-11-19,69.0,90.7,0.048,6.7,5,0.0
2016-11-20,67.4,100.0,0.002,6.7,1,2.0
2016-11-21,67.9,97.1,0.185,6.7,4,0.0
2016-11-22,57.4,97.3,0.365,13.4,1,0.0
2016-11-23,45.2,93.4,0.443,13.4,1,2.0
2016-11-24,42.7,72.6,0.025,13.4,4,1.0
2016-11-25,46.6,87.7,0.015,6.7,1,0.0
2016-11-26,47.9,91.5,0.843,13.4,1,2.0
2016-11-27,48.9,65.4,0.022,13.4,6,0.0
2016-11-28,49.5,71.2,0.0,11.2,6,1.0
2016-11-29,50.4,84.2,0.004,8.9,3,2.0
2016-11-30,54.2,83.5,0.0,11.2,4,0.0
2016-12-01,51.7,75.8,0.012,11.2,5,0.0
2016-12-02,52.2,75.0,0.061,8.9,4,2.0
2016-12-03,52.7,80.0,0.0,8.9,6,0.0
2016-12-04,56.2,82.2,0.001,4.5,5,0.0
2016-12-05,56.3,83.1,0.0,17.8,5,0.0
2016-12-06,51.0,71.4,0.001,13.4,3,3.0
2016-12-07,48.1,75.2,0.0,8.9,6,2.0
2016-12-08,49.7,71.2,0.0,6.7,6,0.0
2016-12-09,50.5,80.5,0.0,8.9,5,0.0
2016-12-10,51.3,77.7,0.0,8.9,3,0.0
2016-12-11,53.6,74.0,0.0,11.2,3,1.0
2016-12-12,55.3,93.4,0.486,4.5,0,1.0
2016-12-13,56.2,95.8,0.276,11.2,1,1.0
2016-12-14,46.2,80.7,0.055,17.9,2,0.0
2016-12-15,40.3,59.4,0.0,17.9,6,0.0
2016-12-16,40.2,67.4,0.0,13.4,6,0.0
2016-12-17,43.8,74.6,0.0,13.4,6,0.0
2016-12-18,53.6,86.5,0.004,4.5,4,1.0
2016-12-19,59.7,89.7,0.01,8.9,4,2.0
2016-12-20,58.4,100.0,0.152,6.7,1,2.0
2016-12-21,62.1,95.5,1.025,17.9,2,0.0
2016-12-22,50.8,75.7,0.008,17.7,3,1.0
2016-12-23,47.1,62.3,0.0,11.2,6,2.0
2016-12-24,46.9,74.0,0.0,6.7,3,3.0
2016-12-25,52.5,92.3,0.028,4.5,3,1.0
2016-12-26,53.0,93.2,0.192,15.7,0,1.0
2016-12-27,43.6,69.9,0.105,17.9,3,0.0
2016-12-28,40.8,67.0,0.0,11.2,3,1.0
2016-12-29,41.2,63.5,0.0,13.4,6,0.0
2016-12-30,43.7,75.5,0.0,6.7,4,0.0
2016-12-31,46.1,83.5,0.0,6.7,6,0.0
2017-01-01,49.5,91.5,0.0,15.7,5,0.0
2017-01-02,54.7,87.0,0.0,11.2,5,0.0
2017-01-03,53.8,81.6,0.0,6.7,4,1.0
2017-01-04,56.7,86.4,0.0,8.9,2,0.0
2017-01-05,58.0,92.6,0.271,8.9,1,3.0
2017-01-06,54.0,99.4,0.246,8.9,2,1.0
2017-01-07,55.6,97.4,0.659,13.4,3,1.0
2017-01-08,49.5,80.0,0.02,15.7,3,0.0
2017-01-09,45.5,67.2,0.0,15.7,4,0.0
2017-01-10,43.9,77.7,0.003,6.7,4,0.0
2017-01-11,43.3,89.6,0.132,8.9,1,1.0
2017-01-12,42.1,92.9,0.205,6.7,0,0.0
2017-01-13,44.3,69.5,0.0,13.4,6,1.0
2017-01-14,41.7,66.9,0.0,11.2,6,1.0
2017-01-15,41.9,65.9,0.0,8.9,4,1.0
2017-01-16,42.2,70.9,0.0,8.9,5,0.0
2017-01-17,41.9,91.4,0.079,4.5,4,0.0
2017-01-18,46.8,100.0,0.238,6.7,1,0.0
2017-01-19,46.2,96.5,0.091,13.3,1,0.0
2017-01-20,39.6,51.9,0.005,17.9,7,0.0
2017-01-21,36.7,63.8,0.0,8.9,7,0.0
2017-01-22,37.9,64.5,0.0,13.4,7,0.0
2017-01-23,36.4,65.7,0.0,6.7,7,0.0
2017-01-24,39.1,73.0,0.0,8.9,6,0.0
2017-01-25,43.1,77.7,0.0,4.5,3,0.0
2017-01-26,45.0,77.8,0.0,11.1,7,0.0
2017-01-27,46.2,80.6,0.0,11.2,7,0.0
2017-01-28,53.0,81.0,0.0,20.1,5,0.0
2017-01-29,62.8,70.5,0.052,17.9,4,0.0
2017-01-30,43.3,67.6,0.001,17.9,5,0.0
2017-01-31,41.3,63.8,0.0,8.9,5,0.0
2017-02-01,42.9,71.1,0.001,11.2,3,0.0
2017-02-02,42.6,69.2,0.0,8.9,4,0.0
2017-02-03,48.1,76.0,0.0,6.7,4,0.0
2017-02-04,49.6,91.3,0.252,6.7,4,0.0
2017-02-05,46.4,87.4,0.114,11.2,4,2.0
2017-02-06,42.8,76.1,0.0,11.2,6,4.0
2017-02-07,46.9,64.8,0.0,11.2,4,0.0
2017-02-08,43.4,92.6,0.228,15.5,1,1.0
2017-02-09,37.8,64.0,0.02,17.9,4,0.0
2017-02-10,39.1,42.3,0.0,20.1,8,0.0
2017-02-11,39.2,42.8,0.0,13.4,8,0.0
2017-02-12,40.2,51.8,0.0,6.7,8,0.0
2017-02-13,44.2,57.1,0.0,6.7,8,0.0
2017-02-14,46.2,55.9,0.0,8.9,8,0.0
2017-02-15,49.1,59.4,0.0,13.4,8,0.0
2017-02-16,59.3,68.8,0.0,13.4,7,2.0
2017-02-17,49.6,85.1,0.0,15.7,7,0.0
2017-02-18,45.1,80.2,0.069,6.7,5,0.0
2017-02-19,55.2,70.3,0.018,20.1,7,0.0
2017-02-20,52.0,73.8,0.0,20.0,5,0.0
2017-02-21,47.6,66.9,0.0,15.7,5,1.0
2017-02-22,47.2,82.6,0.144,13.4,5,0.0
2017-02-23,40.5,72.1,0.043,15.7,2,0.0
2017-02-24,41.5,59.1,0.0,8.9,7,0.0
2017-02-25,43.8,56.7,0.0,6.7,8,0.0
2017-02-26,48.0,55.3,0.0,6.7,8,0.0
2017-02-27,45.8,60.0,0.0,13.4,8,0.0
2017-02-28,48.5,61.7,0.0,11.2,8,0.0
2017-03-01,54.4,56.2,0.0,22.4,8,2.0
2017-03-02,46.4,42.0,0.0,20.1,9,0.0
2017-03-03,46.9,53.7,0.0,13.4,8,1.0
2017-03-04,54.8,61.9,0.016,8.9,8,2.0
2017-03-05,52.0,99.7,0.293,8.9,1,3.0
2017-03-06,48.3,70.5,0.269,11.2,8,0.0
2017-03-07,45.7,59.0,0.0,6.7,9,0.0
2017-03-08,48.5,63.6,0.0,11.2,8,0.0
2017-03-09,52.1,59.5,0.0,8.9,9,0.0
2017-03-10,52.3,84.2,0.154,17.9,2,0.0
2017-03-11,52.8,83.7,0.009,8.9,2,1.0
2017-03-12,52.7,99.7,0.629,9.1,1,1.0
2017-03-13,48.2,95.7,1.166,11.2,1,0.0
2017-03-14,47.8,66.5,0.032,13.4,8,0.0
2017-03-15,48.1,67.3,0.006,8.9,8,0.0
2017-03-16,48.7,77.4,0.054,6.7,3,0.0
2017-03-17,51.0,67.3,0.009,11.1,8,0.0
2017-03-18,52.0,72.3,0.025,8.9,2,0.0
2017-03-19,51.9,97.6,0.192,8.9,3,0.0
2017-03-20,54.0,93.5,0.687,17.9,4,0.0
2017-03-21,53.7,71.2,0.003,17.9,8,0.0
2017-03-22,48.4,87.1,0.325,13.4,1,1.0
2017-03-23,50.4,88.8,0.088,11.1,4,0.0
2017-03-24,49.7,95.4,0.389,6.7,1,0.0
2017-03-25,51.9,79.5,0.082,13.4,5,0.0
2017-03-26,55.0,64.3,0.0,13.4,9,0.0
2017-03-27,55.8,53.9,0.0,11.2,9,0.0
2017-03-28,60.2,54.4,0.0,17.7,5,0.0
2017-03-29,60.3,74.1,0.0,11.2,8,0.0
2017-03-30,54.1,96.0,0.186,11.2,2,0.0
2017-03-31,51.9,80.9,0.426,13.4,2,0.0
2017-04-01,53.6,59.9,0.037,15.7,9,0.0
2017-04-02,56.7,61.8,0.0,11.2,9,1.0
2017-04-03,59.1,55.3,0.0,17.9,9,1.0
2017-04-04,62.9,65.6,0.0,20.1,9,1.0
2017-04-05,69.7,65.1,0.001,17.9,8,1.0
2017-04-06,69.4,76.7,0.059,15.5,8,0.0
2017-04-07,62.2,98.2,0.84,8.9,5,0.0
2017-04-08,66.0,90.1,0.001,11.2,7,0.0
2017-04-09,58.8,98.7,0.631,11.2,1,1.0
2017-04-10,53.9,96.3,0.849,8.9,3,0.0
2017-04-11,52.9,86.9,0.246,13.4,3,2.0
2017-04-12,56.5,64.9,0.0,8.9,9,1.0
2017-04-13,57.9,51.1,0.0,13.4,10,2.0
2017-04-14,65.7,51.7,0.0,13.4,10,1.0
2017-04-15,71.9,63.0,0.0,13.4,9,1.0
2017-04-16,74.1,78.8,0.076,8.9,8,0.0
2017-04-17,70.2,86.6,0.46,15.7,3,0.0
2017-04-18,72.2,62.4,0.0,17.9,10,0.0
2017-04-19,68.3,63.1,0.03,17.9,8,0.0
2017-04-20,69.4,82.7,1.789,11.2,8,0.0
2017-04-21,64.4,81.4,0.077,15.7,2,1.0
2017-04-22,62.3,71.7,0.002,11.2,8,0.0
2017-04-23,60.6,67.7,0.0,11.2,10,0.0
2017-04-24,65.0,69.0,0.0,11.2,10,1.0
